unit,s_adj,nace_r2,indic,geo,TIME_PERIOD,OBS_VALUE
I20,SCA,B,LM-LCI-TOT,EU27_2020,2023-Q3,122.2
I20,SCA,B,LM-LCI-TOT,EU27_2020,2023-Q4,126.8
I20,SCA,B,LM-LCI-TOT,EU27_2020,2024-Q1,124.8
I20,SCA,B,LM-LCI-TOT,FI,2021-Q1,104.2
I20,SCA,B,LM-LCI-TOT,FI,2021-Q2,103.6
I20,SCA,B,LM-LCI-TOT,FI,2021-Q3,100.9
I20,SCA,B,LM-LCI-TOT,FI,2021-Q4,104.3
I20,SCA,B,LM-LCI-TOT,FI,2022-Q1,103.3
I20,SCA,B,LM-LCI-TOT,FI,2022-Q2,103.3
I20,SCA,B,LM-LCI-TOT,FI,2022-Q3,105.4
I20,SCA,B,LM-LCI-TOT,FI,2022-Q4,99.8
I20,SCA,B,LM-LCI-TOT,FI,2023-Q1,103.1
I20,SCA,B,LM-LCI-TOT,FI,2023-Q2,107.5
I20,SCA,B,LM-LCI-TOT,FI,2023-Q3,105.4
I20,SCA,B,LM-LCI-TOT,FI,2023-Q4,110.7
I20,SCA,B,LM-LCI-TOT,FI,2024-Q1,112.0
I20,SCA,B,LM-LCI-TOT,FR,2021-Q1,101.1
I20,SCA,B,LM-LCI-TOT,FR,2021-Q2,102.1
I20,SCA,B,LM-LCI-TOT,FR,2021-Q3,101.6
I20,SCA,B,LM-LCI-TOT,FR,2021-Q4,101.8
I20,SCA,B,LM-LCI-TOT,FR,2022-Q1,101.1
I20,SCA,B,LM-LCI-TOT,FR,2022-Q2,104.5
I20,SCA,B,LM-LCI-TOT,FR,2022-Q3,103.7
I20,SCA,B,LM-LCI-TOT,FR,2022-Q4,105.6
I20,SCA,B,LM-LCI-TOT,FR,2023-Q1,107.9
I20,SCA,B,LM-LCI-TOT,FR,2023-Q2,104.5
I20,SCA,B,LM-LCI-TOT,FR,2023-Q3,106.1
I20,SCA,B,LM-LCI-TOT,FR,2023-Q4,108.3
I20,SCA,B,LM-LCI-TOT,FR,2024-Q1,108.1
I20,SCA,B,LM-LCI-TOT,HR,2021-Q1,96.0
I20,SCA,B,LM-LCI-TOT,HR,2021-Q2,90.9
