DATAFLOW,LAST UPDATE,freq,coicop,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA19,2024-04,128.77,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA19,2024-05,128.12,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA19,2024-06,127.65,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA20,2023-07,126.83,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA20,2023-08,128.52,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA20,2023-09,128.42,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA20,2023-10,128.00,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA20,2023-11,125.89,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA20,2023-12,125.67,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA20,2024-01,124.92,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA20,2024-02,126.62,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA20,2024-03,127.57,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA20,2024-04,128.75,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA20,2024-05,128.10,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EA20,2024-06,127.63,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EE,2023-07,133.72,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EE,2023-08,135.65,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EE,2023-09,136.13,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EE,2023-10,135.19,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EE,2023-11,131.87,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EE,2023-12,132.48,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EE,2024-01,133.88,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EE,2024-02,136.39,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EE,2024-03,138.11,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EE,2024-04,142.09,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EE,2024-05,137.97,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EE,2024-06,138.17,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EL,2023-07,121.43,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EL,2023-08,122.29,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EL,2023-09,122.07,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EL,2023-10,120.99,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EL,2023-11,119.38,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EL,2023-12,117.85,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EL,2024-01,118.13,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EL,2024-02,119.86,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EL,2024-03,121.74,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EL,2024-04,122.59,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EL,2024-05,122.31,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EL,2024-06,122.80,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,ES,2023-07,120.04,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,ES,2023-08,123.53,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,ES,2023-09,124.76,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,ES,2023-10,123.66,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,ES,2023-11,121.84,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,ES,2023-12,120.35,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,ES,2024-01,120.40,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,ES,2024-02,122.43,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,ES,2024-03,123.07,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,ES,2024-04,123.85,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,ES,2024-05,123.11,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,ES,2024-06,122.66,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU,2023-07,128.81,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU,2023-08,130.64,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU,2023-09,130.55,
ESTAT:TEICP070(1.0),31/07/24 11:00:00,M,CP07,I15,EU,2023-10,129.96,
